home_team_id,home_team_name,FB_id,fb_name
11219,Venezia,53210,Venezia
10922,Hellas Verona,53335,Hellas Verona
10766,TSG 1899 Hoffenheim,53569,TSG 1899 Hoffenheim
10938,Tottenham Hotspur,70077,Tottenham Hotspur
10892,Fulham FC,53058,Fulham FC
10749,Leicester City,61947,Leicester City
11488,Ipswich Town,54791,Ipswich Town
11018,CA Osasuna,54768,CA Osasuna
10914,ACF Fiorentina,54822,ACF Fiorentina
10768,VfL Wolfsburg,53428,VfL Wolfsburg
10983,Athletic Bilbao,53044,Athletic Bilbao
11031,CD Leganes,54736,CD Leganes
10912,SSC Napoli,53382,SSC Napoli
10984,Atletico Madrid,53029,Atletico Madrid
10869,Getafe CF,54729,Getafe CF
11661,AC Monza,53215,AC Monza
10928,West Ham United,54743,West Ham United
11299,FC Shakhtar Donetsk,54750,FC Shakhtar Donetsk
10783,GNK Dinamo Zagreb,54651,GNK Dinamo Zagreb
10975,Girona FC,53017,Girona FC
12361,FC Salzburg,60084,FC Salzburg
10947,Bayer 04 Leverkusen,53873,Bayer 04 Leverkusen
18282,Stade Brestois 29,54948,Stade Brestois 29
13598,Club Brugge,53063,Club Brugge
10767,RB Leipzig,53538,RB Leipzig
10864,Atalanta Bergamasca Calcio,54733,Atalanta Bergamasca Calcio
10913,AC Milan,53342,AC Milan
10718,Arsenal FC,54777,Arsenal FC
10298,LOSC Lille,54724,LOSC Lille
11115,VfB Stuttgart,54040,VFB Stuttgart
12378,SL Benfica,54682,SL Benfica
14388,Feyenoord Rotterdam,54895,Feyenoord Rotterdam
10863,Juventus Turin,54725,Juventus Turin
10787,Borussia Dortmund,53427,Borussia Dortmund
11025,Real Valladolid,54770,Real Valladolid
11221,FC Empoli,53209,FC Empoli
10769,SC Freiburg,53507,SC Freiburg
10973,Rayo Vallecano,52995,Rayo Vallecano
10887,Nottingham Forest,62218,Nottingham Forest
10951,RCD Espanyol Barcelona,52965,RCD Espanyol Barcelona
11024,RCD Mallorca,54727,RCD Mallorca
10939,Wolverhampton Wanderers,54762,Wolverhampton Wanderers
10918,Udinese Calcio,53357,Udinese Calcio
10936,Liverpool FC,54655,Liverpool FC
10950,FC Augsburg,53477,FC Augsburg
10771,Borussia Monchengladbach,53495,Borussia Monchengladbach
10875,1. FC Union Berlin,53494,1. FC Union Berlin
10949,1. FSV Mainz 05,53478,1. FSV Mainz 05
11166,FC St. Pauli,53989,FC St. Pauli
11028,FC Sevilla,52967,FC Sevilla
10920,Cagliari Calcio,59572,Cagliari Calcio
10814,Newcastle United,54747,Newcastle United
25083,Como 1907,58365,Como 1907
10945,Brighton & Hove Albion,58990,Brighton & Hove Albion
10148,Chelsea FC,54731,Chelsea FC
10883,Manchester City,54633,Manchester City
11020,Real Sociedad,53047,Real Sociedad
11019,CF Villarreal,54728,CF Villarreal
10170,FC Barcelona,53027,FC Barcelona
10930,Southampton FC,54744,Southampton FC
11197,1. FC Heidenheim 1846,54982,1. FC Heidenheim 1846
10952,Deportivo Alaves Sad,54735,Deportivo Alaves Sad
10915,US Lecce,53330,US Lecce
10862,Bologna FC,54859,Bologna FC
10911,Parma Calcio 1913,53379,Parma Calcio 1913
10946,AFC Bournemouth,54774,AFC Bournemouth
10865,SS Lazio Roma,53317,SS Lazio Roma
10770,FC Bayern Munich,53490,FC Bayern Munich
11097,Holstein Kiel,53968,Holstein Kiel
11023,RC Celta de Vigo,54734,RC Celta de Vigo
10921,Genoa CFC,53380,Genoa CFC
10919,FC Torino,54824,FC Torino
10785,Eintracht Frankfurt,53508,Eintracht Frankfurt
10937,Aston Villa FC,54776,Aston Villa FC
10909,Brentford FC,53131,Brentford FC
10940,Crystal Palace,54775,Crystal Palace
10873,Werder Bremen,53492,Werder Bremen
11027,Real Betis,52966,Real Betis
11021,Valencia CF,52993,Valencia CF
10927,Manchester United FC,54789,Manchester United FC
11100,VfL Bochum,54037,VFL Bochum
10866,AS Roma,53361,AS Roma
10966,UD Las Palmas,53018,UD Las Palmas
10929,Everton FC,54788,Everton FC
11026,Real Madrid,54726,Real Madrid
10917,Inter Milan,53359,Inter Milan
10371,Celtic Glasgow,68991,Celtic Glasgow
13597,Paris Saint Germain,53426,Paris Saint Germain
13187,PSV Eindhoven,53559,PSV Eindhoven
10841,Sporting CP,55807,Sporting CP
11043,FK Crvena Zvezda Belgrade,60161,FK Crvena Zvezda Belgrade
10306,AS Monaco FC,54875,AS Monaco FC
11751,SK Slovan Bratislava,52887,SK Slovan Bratislava
12359,SK Sturm Graz,54060,SK Sturm Graz
11122,Young Boys Bern,54656,Young Boys Bern
11162,AC Sparta Prague,55329,AC Sparta Prague