id,region-de,region-en,region-es,region-fr,region-ja,region-ko,region-pt,region-ru,region-th,region-tr,region-vi,region-zh,region-aa
1,Deutschland,Germany,Alemania,Allemagne,ドイツ,독일,Alemanha,Германия,เยอรมนี,Almanya,Đức,德国,
2,Israel,Israel,Israel,Israël,イスラエル,이스라엘,Israel,Израиль,อิสราเอล,İsrail,Israel,以色列,
3,Polen,Poland,Polonia,Pologne,ポーランド,폴란드,Polônia,Польша,โปแลนด์,Polonya,Ba Lan,波兰,
4,Island,Iceland,Islandia,Islande,アイスランド,아이슬란드,Islândia,Исландия,ไอซ์แลนด์,İzlanda,Iceland,冰岛,
5,Turkmenistan,Turkmenistan,Turkmenistán,Turkménistan,トルクメニスタン,투르크매니스탄,Turquemenistão,Туркменистан,เติร์กเมนิสถาน,Türkmenistan,Turkmenistan,土库曼斯坦,
6,Kroatien,Croatia,Croacia,Croatie,クロアチア,크로아티아,Croácia,Хорватия,โครเอเชีย,Hırvatístan,Croatia,克罗地亚,
7,Montenegro,Montenegro,Montenegro,Monténégro,モンテネグロ,몬테네그로,Montenegro,Черногория,มอนเตเนโกร,Karadağ,Montenegro,黑山,
8,Weißrussland,Belarus,Bielorrusia,Biélorussie,ベラルーシ,벨라루시,Bielorrússia,Беларусь,เบลารุส,Beyaz Rusya,Belarus,白俄罗斯,
9,Vietnam,Vietnam,Vietnam,Vietnam,ベトナム,베트남,Vietname,Вьетнам,เวียดนาม,Vietnam,Việt Nam,越南,
10,Internationale Klubturniere,International Clubs,Clubes Internacionales,International Clubs,インターナショナルクラブ,국제 클럽,Clubes Internacionais,Международный Клубы,สโมสรนานาชาติ,Uluslararası Kulüpler,Các Câu Lạc Bộ Quốc Tế,国际俱乐部,International Clubs
11,Republik Korea,Republic of Korea,Corea del Sur,République de Corée,大韓民国,대한민국,Coreia do Sul,Республика Корея,เกาหลีใต้,Kore Cumhuriyeti,Hàn Quốc,韩国,
12,Serbien,Serbia,Serbia,Serbie,セルビア,세르비아,Sérvia,Сербия,เซอร์เบีย,Sırbistan,Serbia,塞尔维亚,
13,Färöer,Faroe Islands,Islas Feroe,Iles Féroé,フェロー諸島,페로 제도,Ilhas Faroé,Фарерские острова,หมู่เกาะแฟโร,Faroe Adaları,Quẩn đảo Faroe,法罗群岛,
14,Tschechische Republik,Czech Republic,República Checa,République Tchèque,チェコ,체코,República Checa,Чехия,สาธารณรัฐเช็ก,Çek Cumhuriyeti,Cộng Hòa Séc,捷克,
15,Türkei,Turkey,Turquía,Turquie,トルコ,터키,Turquia,Турция,ตุรกี,Türkiye,Thổ Nhĩ Kỳ,土耳其,
16,Slowenien,Slovenia,Eslovenia,Slovénie,スロベニア,슬로베니아,Eslovénia,Словения,สโลวีเนีย,Slovenya,Slovenia,斯洛文尼亚,
17,Portugal,Portugal,Portugal,Portugal,ポルトガル,포르투갈,Portugal,Португалия,โปรตุเกส,Portekiz,Bồ Đào Nha,葡萄牙,
18,Armenien,Armenia,Armenia,Arménie,アルメニア,아르메니아,Arménia,Армения,อาร์เมเนีย,Ermenistan,Armenia,亚美尼亚,
19,Bulgarien,Bulgaria,Bulgaria,Bulgarie,ブルガリア,불가리아,Bulgária,Болгария,บัลแกเรีย,Bulgaristan,Bungary,保加利亚,
20,Schweden,Sweden,Suecia,Suède,スウェーデン,스웨덴,Suécia,Швеция,สวีเดน,İsveç,Thụy Điển,瑞典,
21,Ungarn,Hungary,Hungría,Hongrie,ハンガリー,헝가리,Hungria,Венгрия,ฮังการี,Macaristan,Hungary,匈牙利,
22,Italien,Italy,Italia,Italie,イタリア,이탈리아,Itália,Италия,อิตาลี,İtalya,Ý,意大利,
23,Spanien,Spain,España,Espagne,スペイン,스페인,Espanha,Испания,สเปน,İspanya,Tây Ban Nha,西班牙,
24,Litauen,Lithuania,Lituania,Lituanie,リトアニア,리투아니아,Lituânia,Литва,ลิทัวเนีย,Litvanya,Lithuania,立陶宛,
25,England,England,Inglaterra,Angleterre,イングランド,잉글랜드,Inglaterra,Англия,อังกฤษ,İngiltere,Anh,英格兰,
26,Rumänien,Romania,Rumanía,Roumanie,ルーマニア,루마니아,Romênia,Румыния,โรมาเนีย,Romanya,Romani,罗马尼亚,
27,Estland,Estonia,Estonia,Estonie,エストニア,에스토니아,Estónia,Эстония,เอสโตเนีย,Estonya,Estonia,爱沙尼亚,
28,Palästina,Palestine,Palestina,Palestine,パレスチナ,팔레스타인,Palestina,Палестина,ปาเลสไตน์,Filistin,Lãnh thổ Palastine,巴勒斯坦,
29,Norwegen,Norway,Noruega,Norvège,ノルウェー,노르웨이,Noruega,Норвегия,นอร์เวย์,Norveç,Na Uy,挪威,
30,Ukraine,Ukraine,Ucrania,Ukraine,ウクライナ,우크라이나,Ucrânia,Украина,ยูเครน,Ukrayna,Ukraine,乌克兰,
31,Finnland,Finland,Finlandia,Finlande,フィンランド,핀란드,Finlândia,Финляндия,ฟินแลนด์,Finlandiya,Phần Lan,芬兰,
32,Kosovo,Kosovo,Kosovo,Kosovo,コソボ,코소보,Kosovo,Косово,โคโซโว,Kosova,Kosovo,科索沃,
33,Dänemark,Denmark,Dinamarca,Danemark,デンマーク,덴마크,Dinamarca,Дания,เดนมาร์ก,Danimarka,Đan Mạch,丹麦,
34,Costa Rica,Costa Rica,Costa Rica,Costa Rica,コスタリカ,코스타리카,Costa Rica,Коста-Рика,คอสตาริกา,Kosta Rika,Costa Rica,哥斯达黎加,
35,Schweiz,Switzerland,Suiza,Suisse,スイス,스위스,Suíça,Швейцария,สวิตเซอร์แลนด์,İsviçre,Thụy Sỹ,瑞士,
36,Chinesisch Taipeh,Chinese Taipei,China Taipéi,Taipei chinois,台湾,중화 타이베이,Taipé Chinesa,Тайвань,ไต้หวัน,Tayvan,Đài Bắc Trung Quốc,中华台北,
37,Österreich,Austria,Austria,Autriche,オーストリア アマチュア,오스트리아,Áustria,Австрия,ออสเตรีย,Avusturya,Áo,奥地利,Austria
38,Tansania,Tanzania,Tanzanía,Tanzanie,タンザニア,탄자니아,República da Tanzânia,Танзания,แทนซาเนีย,Tanzanya,Cộng Hòa Tanzania,坦桑尼亚,
39,Electronic Leagues,Electronic Leagues,Ligas Electrónicas,eSports,エレクトロニックリーグ,일렉트로닉 리그,Ligas Eletrónicas,Электронные Лиги,อิเล็กทรอนิกส์ ลีก,Elektronik Ligler,Giải Điện Tử,电子联盟,
40,Syrien,Syrian Arab Republic,Siria,Syrie,シリア,시리아,Síria,Сирия,ซีเรีย,Suriye,Cộng Hòa Ả Rập Syrie,叙利亚,
41,Usbekistan,Uzbekistan,Uzbekistán,Ouzbékistan,ウズベキスタン,우즈베키스탄,Uzbequistão,Узбекистан,อุซเบกิสถาน,Özbekistan,Uzbekistan,乌兹别克斯坦,
42,Slowakei,Slovakia,Eslovaquia,Slovaquie,スロバキア,슬로바키아,Eslováquia,Словакия,สโลวาเกีย,Slovakya,Slovakia,斯洛伐克,
43,Griechenland,Greece,Grecia,Grèce,ギリシャ,그리스,Grécia,Греция,กรีซ,Yunanistan,Hy Lạp,希腊,
44,International,International,Internacional,International,インターナショナル,국제,Internacional,Международный,นานาชาติ,Uluslararası,Giao hữu quốc tê,国际,الدولي
45,Australien,Australia,Australia,Australie,オーストラリア,호주,Austrália,Австралия,ออสเตรเลีย,Avustralya,Úc,澳大利亚,
46,Russland,Russia,Rusia,Russie,ロシア,러시아,Rússia,Россия,รัสเซีย,Rusya,Nga,俄罗斯,
47,Irland,Ireland,Irlanda,Irlande,アイルランド,아일랜드,Irlanda,Ирландия,ไอร์แลนด์,İrlanda,Ai-len,爱尔兰,
48,Singapur,Singapore,Singapur,Singapour,シンガポール,싱가포르,Singapura,Сингапур,สิงคโปร์,Singapur,Singapore,新加坡,
49,Albanien,Albania,Albania,Albanie,アルバニア,알바니아,Albânia,Албания,แอลเบเนีย,Arnavutluk,Albania,阿尔巴尼亚,
50,Lettland,Latvia,Letonia,Lettonie,ラトビア,라트비아,Letônia,Латвия,ลัตเวีย,Letonya,Latvia,拉脱维亚,
51,Simulated Reality League,Simulated Reality League,Simulated Reality League,Simulated Reality League,Simulated Reality League,Simulated Reality League,Liga Realidade Simulada,Simulated Reality League,Simulated Reality League,Simulated Reality League,Simulated Reality League,Simulated Reality League,
52,Tadschikistan,Tajikistan,Tajikistán,,タジキスタン,,Tajiquistão,Таджикистан,ทาจิกิสถาน,Tacikistan,Tajikistan,塔吉克斯坦,
53,Kasachstan,Kazakhstan,Kazajistán,Kazakhstan,カザフスタン,카자흐스탄,Cazaquistão,Казахстан,คาซัคสถาน,Kazakistan,Kazakhstan,哈萨克斯坦,
54,Jordanien,Jordan,Jordania,Jordanie,ヨルダン,요르단,Jordânia,Иордания,จอร์แดน,Ürdün,Jordan,约旦,
55,Georgien,Georgia,Georgia,Géorgie,ジョージア,그루지아,Geórgia,Грузия,จอร์เจีย,Gürcistan,Georgia,格鲁吉亚,
56,Aserbaidschan,Azerbaijan,Azerbayán,Azerbaïdjan,アゼルバイジャン,아제르바이젠,Azerbaijão,Азербайджан,อาเซอร์ไบจาน,Azerbaycan,Azerbaijan,阿塞拜疆,
57,Iran,Iran,Irán,Iran,イラン,이란,Irã,Иран,อิหร่าน,İran,Nước Cộng Hòa Hồi Giáo Iran,伊朗,
58,Brasilien,Brazil,Brasil,Brésil,ブラジル,브라질,Brasil,Бразилия,บราซิล,Brezilya,Brazil,巴西,
59,Japan,Japan,Japón,Japon,日本,일본,Japão,Япония,ญี่ปุ่น,Japonya,Nhật Bản,日本,
60,Burundi,Burundi,Burundi,Burundi,ブルンジ,부룬디,Burundi,Бурунди,บุรุนดี,Burundi,Burundi,布隆迪,
61,Moldawien,Moldova,Moldavia,Moldavie,モルドバ,몰도바,República da Moldávia,Молдова,มอลโดวา,Moldova,Cộng Hòa Moldova,摩尔多瓦,
62,USA,USA,Estados Unidos,Etats-Unis,米国,미국,EUA,США,สหรัฐอเมริกา,ABD,Mỹ,美国,
63,Tunesien,Tunisia,Túnez,Tunisie,チュニジア,튀니지,Tunísia,Тунис,ตูนิเซีย,Tunus,Tunisia,突尼斯,
64,Krim,Crimea,Crimea,Crimée,クリミア,크림반도,Crimeia,Крым,ไครเมีย,Kırım,Bán đảo Krym,克里米亚,
65,Mongolei,Mongolia,Mongolia,,モンゴル,,Mongólia,Монголия,มองโกเลีย,Moğolistan,Mông Cổ,蒙古,
66,Frankreich,France,Francia,France,フランス,프랑스,França,Франция,ฝรั่งเศส,Fransa,Pháp,法国,
67,Kambodscha,Cambodia,Camboya,,カンボジア,,Cambodja,Камбоджа,กัมพูชา,Kamboçya,Campuchia,柬埔寨,
68,Schottland,Scotland,Escocia,Écosse,スコットランド,스코틀랜드,Escócia,Шотландия,สกอตแลนด์,İskoçya,Scotland,苏格兰,
69,Nordirland,Northern Ireland,Irlanda del Norte,Irlande du Nord,北アイルランド,북아일랜드,Irlanda do Norte,Северная Ирландия,ไอร์แลนด์เหนือ,Kuzey İrlanda,Bắc Ireland,北爱尔兰,
70,Andorra,Andorra,Andorra,Andorre,アンドラ,안도라,Andorra,Андорра,อันดอร์รา,Andorra,Angorra,安道尔,
71,Nicaragua,Nicaragua,Nicaragua,Nicaragua,ニカラグア,니카라과,Nicarágua,Никарагуа,นิการากัว,Nikaragua,Nicaragua,尼加拉瓜,
73,Kanada,Canada,Canadá,Canada,カナダ,캐나다,Canadá,Канада,แคนาดา,Kanada,Canada,加拿大,
74,Belgien,Belgium,Bélgica,Belgique,ベルギー,벨기에,Bélgica,Бельгия,เบลเยียม,Belçika,Bỉ,比利时,
75,,Laos,,,,,,,,,,,
76,China,China,China,Chine,中国,중국,China,Китай,สาธารณรัฐประชาชนจีน,Çin,Trung Quốc,中国,
77,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,スリランカ,스리랑카,Sri Lanka,Шри-Ланка,ศรีลังกา,Sri Lanka,Sri Lanka,斯里兰卡,
78,,,,,,,,,,,,,
79,Zypern,Cyprus,Chipre,Chypre,キプロス,사이프러스,Chipre,Кипр,ไซปรัส,Kıbrıs Rum Kesimi,Đảo Síp,塞浦路斯,
80,,Dominican Republic,,,,,,,,,,多米尼加共和国,
83,Bhutan,Bhutan,Bután,Bhoutan,ブータン,부탄,Butão,Бутан,ภูฏาน,Butan Krallığı,Bhutan,不丹,
86,,China,,,,,,,,,,,
1018,Gt Sports League,Gt Sports League,Gt Sports League,Gt Sports League,Gt Sports League,Gt Sports League,Liga GT Sports,Gt Sports League,Gt Sports League,Gt Sports League,Gt Sports League,Gt Sports League,
89,Mexiko,Mexico,México,Mexique,メキシコ,멕시코,México,Мексика,เม็กซิโก,Meksika,Mexico,墨西哥,
91,Wales,Wales,Gales,Pays de Galles,ウェールズ,웨일즈,País de Gales,Уэльс,แคว้นเวลส์,Galler,Xứ Wales,威尔士,
92,Malta,Malta,Malta,Malte,マルタ,말타,Malta,Мальта,มอลตา,Malta,Malta,马耳他,
93,Brunei ,Brunei ,Brunei ,Brunei ,Brunei ,Brunei ,Brunei ,Brunei ,Brunei ,Brunei ,Brunei ,Brunei ,
94,,Cuba,,,,,,,,,,,
96,,Grenada,,,,,,,,,,,
97,Neuseeland,New Zealand,Nueva Zelanda,Nouvelle-Zélande,ニュージーランド,뉴질랜드,Nova Zelândia,Новая Зеландия,นิวซีแลนด์,Yeni Zelanda,New Zealand,新西兰,
99,,Benin,,,,,,,,,,,
101,,Dominica,,,,,,,,,,,
102,,Guadeloupe,,,,,,,,,,,
1021,Perfect World Dota2,Perfect World Dota2,Dota2 Perfect World,Perfect World Dota2,パーフェクトワールド Dota2,퍼펙트 월드 도타2,Perfect World Dota2,Perfect World Dota2,เปอร์เฟค เวิร์ล โดต้า2,Perfect World Dota2,Perfect World Dota2,完美世界 刀塔2,
104,Bosnien und Herzegowina,Bosnia & Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine,ボスニア・ヘルツェゴビナ,보스니아 헤르체코비나,Bósnia & Herzegovina,Босния и Герцеговина,บอสเนียและเฮอร์เซโกวีนา,Bosna Hersek,Bosnia & Herzegovina,波斯尼亚和黑塞哥维那,
105,Nordmazedonien,North Macedonia,Macedonia del Norte,Macédoine du Nord,北マケドニア,북마케도니아,Macedónia do Norte,Северная Македония,นอร์ธ มาซิโดเนีย,Kuzey Makedonya,Bắc Macedonia,北马其顿,
108,Ecuador,Ecuador,Ecuador,Equateur,エクアドル,에콰도르,Equador,Эквадор,เอกวาดอร์,Ekvador,Ecuador,厄瓜多尔,
109,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
114,Luxemburg,Luxembourg,Luxemburgo,Luxembourg,ルクセンブルク,룩셈부르크,Luxemburgo,Люксембург,ลักเซมเบิร์ก,Lüksemburg,Luxembourg,卢森堡,
118,Peru,Peru,Perú,Pérou,ペルー,페루,Perú,Перу,เปรู,Peru,Peru,秘鲁,
120,,,,,,,,,,,,,
1023,Liga Pro,Liga Pro,Liga Pro,Liga Pro,Liga Pro,Liga Pro,Liga Profissional,Liga Pro,Liga Pro,Liga Pro,Liga Pro,Liga Pro,
130,Kolumbien,Colombia,Colombia,Colombie,コロンビア,콜롬비아,Colômbia,Колумбия,โคลอมเบีย,Kolombiya,Colombia,哥伦比亚,
133,Paraguay,Paraguay,Paraguay,Paraguay,パラグアイ,파라과이,Paraguai,Парагвай,ปารากวัย,Paraguay,Paraguay,巴拉圭,
134,Venezuela,Venezuela,Venezuela,Venezuela,ベネズエラ,베네수엘라,Venezuela,Венесуэла,เวเนซุเอลา,Venezuela,Venezuela,委内瑞拉,
139,Vereinigte Arabische Emirate,United Arab Emirates,Emiratos Árabes Unidos,Emirats Arabes Unis,アラブ首長国連邦,아랍에미레이츠,Emiratos Árabes Unidos,Объединенные Арабские Эмираты,สหรัฐอาหรับเอมิเรตส์,BAE,Các tiểu vương quốc Ả Rập Thống Nhất,阿联酋,
141,Marokko,Morocco,Marruecos,Maroc,モロッコ,모로코,Marrocos,Марокко,โมร็อกโก,Fas,Ma Rốc,摩洛哥,
142,Algerien,Algeria,Argelia,Algérie,アルジェリア,알제리,Argélia,Алжир,แอลจีเลีย,Cezayir,Algeria,阿尔及利亚,
143,Ägypten,Egypt,Egipto,Egypte,エジプト,이집트,Egito,Египет,อียิปต์,Mısır,Ai Cập,埃及,
144,Saudi Arabien,Saudi Arabia,Arabia Saudita,Arabie Saoudite,サウジアラビア,사우디아라비아,Arábia Saudita,Саудовская аравия,ซาอุดีอาระเบีย,Suudi Arabistan,Ả Rập Saudi,沙特阿拉伯,
146,Südafrika,South Africa,Sudáfrica,Afrique du Sud,南アフリカ,남아프리카 공화국,África do Sul,Южная Африка,แอฟริกาใต้,Güney Afrika,Nam Phi,南非,
149,Kuwait,Kuwait,Kuwait,Koweït,クウェート,쿠웨이트,Kuwait,Кувейт,คูเวต,Kuveyt,Kuwait,科威特,
150,"Hong Kong, China","Hong Kong, China","Hong Kong, China","Hong Kong, Chine",香港、中国,"홍콩, 중국","Hong Kong, China","Гонконг, Китай","ฮ่องกง, จีน","Hong Kong, Çin","Hồng Kông, Trung Quốc",香港，中国,
153,Bahrain,Bahrain,Baréin,Bahreïn,バーレーン,바레인,Bahrain,Бахрейн,บาห์เรน,Bahreyn,Bahrain,巴林,
154,Indien,India,India,Inde,インド,인도,India,Индия,อินเดีย,Hindistan,Ấn Độ,印度,كرة الماء
155,Katar,Qatar,Catar,Qatar,カタール,카타르,Catar,Катар,กาตาร์,Katar,Qatar,卡塔尔,
156,Niederlande,Netherlands,Países Bajos,Pays-Bas,オランダ,네덜란드,Holanda,Голландия (Нидерланды),เนเธอร์แลนด์,Hollanda,Hà Lan,荷兰,
157,Guatemala,Guatemala,Guatemala,Guatemala,グアテマラ,과테말라,Guatemala,Гватемала,กัวเตมาลา,Guatemala,Guatemala,危地马拉,
159,El Salvador,El Salvador,El Salvador,Le Salvador,エルサルバドル,엘살바도르,El Salvador,Сальвадор,เอลซัลวาดอร์,El Salvador,El Salvador,萨尔瓦多,
160,Indonesien,Indonesia,Indonesia,Indonésie,インドネシア,인도네시아,Indonésia,Индонезия,อินโดนีเซีย,Endonezya,Indonesia,印尼,
163,Bolivien,Bolivia,Bolivia,Bolivie,ボリビア,볼리비아,Bolívia,Боливия,โบลิเวีย,Bolivya,Bolivia,玻利维亚,
167,San Marino,San Marino,San Marino,San Marin,サンマリノ,산마리노,São Marino,Сан-Марино,ซาน มารีโน,San Marino,San Marino,圣马力诺,
170,,,,,,,,,,,,,
171,Kamerun,Cameroon,Camerún,Cameroun,カメルーン,카메룬,Camarões,Камерун,แคเมอรูน,Kamerun,Cameroon,喀麦隆,
172,Jugend International,International Youth,Internacional Juvenil,International Jeunes,インターナショナルユース,인터네이셔널 유스,Seleções Jovens,Международный молодежная лига,เยาวชนนานาชาติ,Uluslararası Gençler,International Youth,国际青少年,International Youth
174,Oman,Oman,Omán,Oman,オマーン,오만,Omã,Оман,โอมาน,Oman Sultanlığı,Oman,阿曼,
175,,,,,,,,,,,,,
176,Libanon,Lebanon,Líbano,,レバノン,,Líbano,Ливан,เลบานอน,Lübnan,Liban,黎巴嫩,
177,Honduras,Honduras,Honduras,Honduras,ホンジュラス,온두라스,Honduras,Гондурас,ฮอนดูรัส,Honduras,Honduras,洪都拉斯,
178,,,,,,,,,,,,,
181,Bangladesch,Bangladesh,Bangladés,Bangladesh,バングラデシュ,방글라데시,Bangladesh,Бангладеш,บังกลาเทศ,Bangladeş,Bangladesh,孟加拉国,
182,,Sudan,,,,,,,,,,,
184,Thailand,Thailand,Tailandia,Thaïlande,タイ,태국,Tailândia,Таиланд,ไทย,Tayland,Thái Lan,泰国,
185,Argentinien,Argentina,Argentina,Argentine,アルゼンチン,아르헨티나,Argentina,Аргентина,อาร์เจนตินา,Arjantin,Argentina,阿根廷,
186,Irak,Iraq,Irak,Irak,イラク,이라크,Iraque,Ирак,อิรัก,Irak,Iraq,伊拉克,
187,Chile,Chile,Chile,Chili,チリ,칠레,Chile,Чили,ชิลี,Şili,Chi lê,智利,
189,Angola,Angola,Angola,Angola,アンゴラ,앙골라,Angola,Ангола,แองโกลา,Angola,Angola,安哥拉,
190,,Jamaica,,,,,,,,,,,
191,,Liechtenstein,,,,,,,,,,,
193,,Belize,,,,,,,,,,,
194,Panama,Panama,Panamá,Panama,パナマ,파나마,Panamá,Панама,ปานามา,Panama,Panama,巴拿马,
195,,Trinidad and Tobago,,,,,,,,,,,
197,Nigeria,Nigeria,Nigeria,Nigéria,ナイジェリア,나이지리아,Nigéria,Нигерия,ไนจีเรีย,Nijerya,Nigeria,尼日利亚,
199,Ghana,Ghana,Ghana,Ghana,ガーナ,가나,Gana,Гана,กานา,Gana,Ghana,加纳,
200,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia,Namibia
202,,Mauritania,,,,,,,,,,,
203,Puerto Rico,Puerto Rico,Puerto Rico,Porto Rico,プエルトリコ,푸에르토리코,Porto Rico,Пуэрто-Рико,เปอร์โตริโก,Porto Riko,Puerto Rico,波多黎各,
204,Uruguay,Uruguay,Uruguay,Uruguay,ウルグアイ,우루과이,Uruguai,Уругвай,อุรุกวัย,Uruguay,Uruguay,乌拉圭,
205,,DR Congo,,,,,,,,,,,
207,,Maldives,,,,,,,,,,,
208,,Aruba,,,,,,,,,,,
211,,,,,,,,,,,,,
212,,,,,,,,,,,,,
213,Pakistan,Pakistan,Pakistán,Pakistan,パキスタン,파키스탄,Paquistão,Пакистан,ปากีสถาน,Pakistan,Pakistan,巴基斯坦,
214,,Macao,,,,,,,,,,,
216,,Kyrgyzstan,,,,,,,,,,,
218,Myanmar,Myanmar,Myanmar,,ミャンマー,,Myanmar,Мьянма,พม่า,Myanmar,Myamar,缅甸,
219,,Burkina Faso,,,,,,,,,,,
220,,,,,,,,,,,,,
222,,,,,,,,,,,,,
223,,Haiti,,,,,,,,,,,
225,,,,,,,,,,,,,
227,,Botswana,,,,,,,,,,,
228,Kenia,Kenya,Kenia,Kenya,ケニア,케냐,Quénia,Кения,เคนยา,Kenya,Kenya,肯尼亚,
229,,Mozambique,,,,,,,,,,,
230,,Fiji,,,,,,,,,,,
231,Sambia,Zambia,Zambia,Zambie,ザンビア,잠비아,Zâmbia,Замбия,แซมเบีย,Zambiya,Zambia,赞比亚,
232,,,,,,,,,,,,,
233,Uganda,Uganda,Uganda,Ouganda,ウガンダ,우간다,Uganda,Уганда,ยูกันดา,Uganda,Uganda,乌干达,
235,,Curacao,,,,,,,,,,,
236,Malawi,Malawi,Malaui,Malawi,マラウイ,말라위,Malaui,Малави,มาลาวี,Malavi,Malawi,马拉维,
237,,Mali,,,,,,,,,,,
238,,,,,,,,,,,,,
239,Philippinen,Philippines,Filipinas,Philippines,フィリピン,필리핀,Ilhas Filipinas,Филиппины,ฟิลิปปินส์,Filipinler,Philippin,菲律宾,
